,Treatment,Temperature,Symbiont,Image,Roughness,SD,SE
119,Amb. Symbiotic,20º,Symbiotic,SW2_b017.csv,23470.86732,22543.41615,7128.854128
120,Amb. Symbiotic,20º,Symbiotic,SW2_c006.csv,3790.370036,1189.383097,376.1159595
121,Amb. Symbiotic,20º,Symbiotic,SW2_c011.csv,4465.331888,1242.858973,393.0265165
122,Amb. Symbiotic,20º,Symbiotic,SW2_c019.csv,6891.346573,3803.305002,1202.710644
123,Amb. Symbiotic,20º,Symbiotic,SW2_c024.csv,7361.827621,1063.675995,336.3638837
124,Amb. Symbiotic,20º,Symbiotic,SW3005.csv,5048.393663,1858.063028,587.5711204
125,Amb. Symbiotic,20º,Symbiotic,SW3008.csv,2900.421958,687.8299388,217.510925
126,Amb. Symbiotic,20º,Symbiotic,SW3009.csv,2748.43054,522.011163,165.0744239
127,Amb. Symbiotic,20º,Symbiotic,SW3012.csv,4043.656696,1656.142269,523.7181698
128,Amb. Symbiotic,20º,Symbiotic,SW3016.csv,5742.87858,1098.801953,347.4716869
129,Amb. Symbiotic,20º,Symbiotic,SW3_b004.csv,5915.941874,4141.634065,1309.699688
130,Amb. Symbiotic,20º,Symbiotic,SW3_b006.csv,5578.287242,1169.643896,369.8738763
131,Amb. Symbiotic,20º,Symbiotic,SW3_b007.csv,7195.247458,952.0269976,301.0573706
132,Amb. Symbiotic,20º,Symbiotic,SW3_b015.csv,6520.337528,1656.912508,523.961741
133,Amb. Symbiotic,20º,Symbiotic,SW3_b018.csv,7682.075019,1693.979193,535.6832558
